Monat,name,group,DistKat,HM,Watt,Meter,Minuten,avg,Datum
Oktober,Nachmittagsradfahrt,Training,0-50,177,88,41500,111,22.43243243, 20.10.2016
Oktober,Nachmittagsradfahrt,Training,0-50,208,83,34700,96,21.6875, 17.10.2016
Oktober,RTF-Haltern,RTF,100-150,415,123,122000,263,27.83269962, 16.10.2016
Oktober,Nachmittagsradfahrt,Training,0-50,77,104,46800,115,24.4173913, 13.10.2016
Oktober,Morgenradfahrt,Training,50-100,242,141,74800,155,28.95483871, 9.10.2016
Oktober,Nachmittagsradfahrt,Training,0-50,38,81,45500,118,23.13559322, 6.10.2016
Oktober,Nachmittagsradfahrt,Training,0-50,38,109,43800,100,26.28, 4.10.2016
Oktober,Ara Niederrhein-Absc,Brevet,100-150,152,77,104400,276,22.69565217, 2.10.2016
September,Nachmittagsradfahrt,Training,0-50,141,129,48700,106,27.56603774, 29.9.2016
September,Nachmittagsradfahrt,Training,0-50,42,101,48700,117,24.97435897, 27.9.2016
September,Kettwiger-Hügeltour,RTF,100-150,1647,151,107500,263,24.52471483, 25.9.2016
September,Nachmittagsradfahrt,Training,0-50,39,123,40900,90,27.26666667, 23.9.2016
September,Nachmittagsradfahrt,Training,0-50,39,112,44000,99,26.66666667, 21.9.2016
September,Abendradfahrt,Training,0-50,91,127,34200,75,27.36, 20.9.2016
September,RTF Waltrop,RTF,100-150,338,129,113600,240,28.4, 18.9.2016
September,Ein Pfänder geht imm,Ride,0-50,675,153,25500,86,17.79069767, 15.9.2016
September,PfänderRunden,Ride,50-100,2504,150,71700,278,15.47482014, 14.9.2016
September,Bödele+,Ride,100-150,2281,131,102100,323,18.96594427, 12.9.2016
September,Garmisch-Mittenwald-,Ride,50-100,1368,137,77600,214,21.75700935, 9.9.2016
September,Plansee,Ride,50-100,948,163,81800,187,26.2459893,7.9.2016
September,Gap-Runde: überallBe,Ride,50-100,1145,168,95900,217,26.51612903, 4.9.2016
September,Nachmittagsradfahrt,Training,0-50,122,112,45400,100,27.24, 1.9.2016
August,Nachmittagsradfahrt,Training,50-100,37,96,53100,128,24.890625, 30.8.2016
August,RTF-Sturmvogel Dortm,RTF,100-150,961,126,108000,252,25.71428571, 28.8.2016
August,Nachmittagsradfahrt,Training,50-100,351,98,61800,162,22.88888889, 17.8.2016
August,Hagen-Süd,Ride,150-200,2377,140,158000,426,22.25352113, 13.8.2016
August,Nachmittagsradfahrt,Training,0-50,38,99,47100,112,25.23214286, 10.8.2016
August,RTF Neuenrade,RTF,100-150,2133,154,148100,360,24.68333333, 7.8.2016
August,Nachmittagsradfahrt,Training,0-50,38,101,40700,98,24.91836735, 4.8.2016
Juli,RaR - aufgegeben :-(,Event,200+,3954,133,213700,629,20.38473768, 30.7.2016
Juli,RTF-Silschede-Stern,RTF,150-200,2241,125,195900,506,23.22924901, 16.7.2016
Juli,Nachmittagsradfahrt,Training,0-50,39,118,42400,94,27.06382979, 14.7.2016
Juli,Hochsauerland RTF,RTF,150-200,2332,163,152100,361,25.27977839, 9.7.2016
Juli,Nachmittagsradfahrt,Training,50-100,37,91,60600,147,24.73469388, 4.7.2016
Juli,Wixberg,Ride,50-100,1574,145,96200,252,22.9047619, 3.7.2016
Juni,Phönix-Runden,Training,50-100,50,100,65000,140,27.85714286, 28.6.2016
Juni,Westfalentriathlon-S,Event,0-50,126,104,37600,97,23.25773196, 26.6.2016
